2025-03-16 20:16:51,315 INFO    Thread-106 (_run_job):22840 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-16 20:16:51,316 INFO    Thread-106 (_run_job):22840 [wandb_setup.py:_flush():67] Configure stats pid to 22840
2025-03-16 20:16:51,316 INFO    Thread-106 (_run_job):22840 [wandb_setup.py:_flush():67] Loading settings from C:\Users\acer\.config\wandb\settings
2025-03-16 20:16:51,316 INFO    Thread-106 (_run_job):22840 [wandb_setup.py:_flush():67] Loading settings from c:\Users\acer\OneDrive\Documents\GitHub\dl_assignment_ed24s401\wandb\settings
2025-03-16 20:16:51,316 INFO    Thread-106 (_run_job):22840 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-16 20:16:51,316 INFO    Thread-106 (_run_job):22840 [wandb_init.py:setup_run_log_directory():647] Logging user logs to c:\Users\acer\OneDrive\Documents\GitHub\dl_assignment_ed24s401\wandb\run-20250316_201651-qxmrbax7\logs\debug.log
2025-03-16 20:16:51,317 INFO    Thread-106 (_run_job):22840 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to c:\Users\acer\OneDrive\Documents\GitHub\dl_assignment_ed24s401\wandb\run-20250316_201651-qxmrbax7\logs\debug-internal.log
2025-03-16 20:16:51,317 INFO    Thread-106 (_run_job):22840 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001A8F7C8BBD0>
2025-03-16 20:16:51,317 INFO    Thread-106 (_run_job):22840 [wandb_init.py:init():761] calling init triggers
2025-03-16 20:16:51,317 INFO    Thread-106 (_run_job):22840 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation': 'tanh', 'batch_size': 32, 'beta1': 0.9, 'beta2': 0.999, 'beta_rms': 0.9, 'epochs': 10, 'epsilon': 1e-08, 'hidden_size': 128, 'init_type': 'xavier', 'learning_rate': 0.001, 'momentum': 0.8, 'num_hidden_layers': 3, 'optimizer': 'adam', 'weight_decay': 0.0005}
config: {'_wandb': {}}
2025-03-16 20:16:51,317 INFO    Thread-106 (_run_job):22840 [wandb_init.py:init():784] starting backend
2025-03-16 20:16:51,317 INFO    Thread-106 (_run_job):22840 [wandb_init.py:init():788] sending inform_init request
2025-03-16 20:16:51,319 INFO    Thread-106 (_run_job):22840 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-03-16 20:16:51,319 INFO    Thread-106 (_run_job):22840 [wandb_init.py:init():798] backend started and connected
2025-03-16 20:16:51,320 INFO    Thread-106 (_run_job):22840 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'tanh', 'batch_size': 32, 'beta1': 0.9, 'beta2': 0.999, 'beta_rms': 0.9, 'epochs': 10, 'epsilon': 1e-08, 'hidden_size': 128, 'init_type': 'xavier', 'learning_rate': 0.001, 'momentum': 0.8, 'num_hidden_layers': 3, 'optimizer': 'adam', 'weight_decay': 0.0005}
2025-03-16 20:16:51,321 INFO    Thread-106 (_run_job):22840 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-03-16 20:16:51,321 INFO    Thread-106 (_run_job):22840 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'charmap' codec can't decode byte 0x81 in position 6615: character maps to <undefined>
2025-03-16 20:16:51,321 INFO    Thread-106 (_run_job):22840 [wandb_init.py:init():891] updated telemetry
2025-03-16 20:16:51,370 INFO    Thread-106 (_run_job):22840 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-16 20:16:51,842 INFO    Thread-106 (_run_job):22840 [wandb_init.py:init():990] starting run threads in backend
2025-03-16 20:16:51,989 INFO    Thread-106 (_run_job):22840 [wandb_run.py:_console_start():2375] atexit reg
2025-03-16 20:16:51,989 INFO    Thread-106 (_run_job):22840 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-16 20:16:51,989 INFO    Thread-106 (_run_job):22840 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-16 20:16:51,989 INFO    Thread-106 (_run_job):22840 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-16 20:16:51,989 INFO    Thread-106 (_run_job):22840 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-16 20:18:23,725 INFO    Thread-106 (_run_job):22840 [wandb_run.py:_finish():2112] finishing run ed24s401-indian-institute-of-technology-madras/q4_sweep_project/qxmrbax7
2025-03-16 20:18:23,727 ERROR   Thread-106 (_run_job):22840 [jupyter.py:save_history():450] Run pip install nbformat to save notebook history
2025-03-16 20:18:23,727 INFO    Thread-106 (_run_job):22840 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-16 20:18:23,727 INFO    Thread-106 (_run_job):22840 [wandb_init.py:_jupyter_teardown():581] cleaning up jupyter logic
2025-03-16 20:18:23,727 INFO    Thread-106 (_run_job):22840 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-16 20:18:23,727 INFO    Thread-106 (_run_job):22840 [wandb_run.py:_restore():2322] restore
2025-03-16 20:18:23,727 INFO    Thread-106 (_run_job):22840 [wandb_run.py:_restore():2328] restore done
2025-03-16 20:18:25,346 INFO    Thread-106 (_run_job):22840 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-16 20:18:25,347 INFO    Thread-106 (_run_job):22840 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-16 20:18:25,347 INFO    Thread-106 (_run_job):22840 [wandb_run.py:_footer_sync_info():3917] logging synced files
